No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,TN,   Jackpot, Wins,   Machine  ,Set
2820, Fri, 5,Mar,2021, 11,24,26,36,39,11,    500000,    0, Excalibur 5, T11 
2819, Wed, 3,Mar,2021, 04,12,22,24,32,08,    500000,    1, Excalibur 5, T11 
2818, Tue, 2,Mar,2021, 14,18,29,35,39,05,    500000,    0, Excalibur 5, T11 
2817, Sat,27,Feb,2021, 05,07,15,19,31,02,    500000,    0, Excalibur 6, T10 
2816, Fri,26,Feb,2021, 08,11,15,23,32,06,    500000,    0, Excalibur 6, T10 
2815, Wed,24,Feb,2021, 01,15,26,31,33,01,    500000,    0, Excalibur 5, T10 
2814, Tue,23,Feb,2021, 08,22,24,25,37,14,    500000,    0, Excalibur 6, T10 
2813, Sat,20,Feb,2021, 07,15,27,33,36,06,    500000,    0, Excalibur 6, T9 
2812, Fri,19,Feb,2021, 05,10,11,23,36,03,    500000,    0, Excalibur 6, T9 
2811, Wed,17,Feb,2021, 16,25,26,27,30,11,    500000,    0, Excalibur 6, T9 
2810, Tue,16,Feb,2021, 06,13,14,29,37,03,    500000,    0, Excalibur 6, T9 
2809, Sat,13,Feb,2021, 05,13,21,29,39,03,    500000,    0, Excalibur 5, T11 
2808, Fri,12,Feb,2021, 05,14,29,32,33,08,    500000,    0, Excalibur 5, T11 
2807, Wed,10,Feb,2021, 13,25,31,34,37,09,    500000,    0, Excalibur 5, T11 
2806, Tue, 9,Feb,2021, 07,08,14,21,34,05,    500000,    1, Excalibur 5, T11 
2805, Sat, 6,Feb,2021, 06,14,16,31,32,07,    500000,    0, Excalibur 5, T10 
2804, Fri, 5,Feb,2021, 11,18,19,23,29,09,    500000,    0, Excalibur 5, T10 
2803, Wed, 3,Feb,2021, 05,11,13,20,34,12,    500000,    0, Excalibur 5, T10 
2802, Tue, 2,Feb,2021, 05,06,11,20,28,07,    500000,    0, Excalibur 5, T10 
2801, Sat,30,Jan,2021, 06,11,14,23,33,11,    500000,    2, Excalibur 6, T9 
2800, Fri,29,Jan,2021, 13,18,22,28,38,13,    500000,    0, Excalibur 6, T9 
